"Tool #","Tool Group","Number","Cut Dia","Overall Length","LOC","(S)tub / (J)obber","ANSICatalogNumber","Approved Brand","Backside Capable","BodyDia","BottomCut","BottomRelief","CenterCut","Classification Marking","Classification Markings","Coating","CornerRad","Cost","Created At","Made Of","Custom Grind","Custom Ground Notes","Cutting Direction","Description","Diameter of Ball (DK)","Diameter Range","Diametral Knurl Value","Double Ended","SK Size","Face to Tip Value","FluteType/Chipbreaker","Full Profile","Grooving Insert Width","Quantity Verified","HelixAngle","Holder","Insert Corner Radius","InsertInscribedCirle","InsertReliefAngle","InsertShape","Insert Thickness","Insert Tip to Center Line of Shank","InsertTolerance","Insert Type","Inspection Certified","ISO Catalog Number","Lead Angle","Lead time","Length Below Holder - MIN OOH","Length Under Ball (ML)","Location","Max Back Angle","Max Offset Drill","Max Z Depth","Min Bore Diameter","Nomenclature","No. of Cutting Corners","No.ofFlutes","Pictures","Pitch","Pocket Geometry","Point Type","Totalin Shop","Recommended Pre-drill Size","Recommended Workpiece Material","Relieved Shank Diameter","Round Shank","Shaft Diameter (DS)","Shaft Material","Shank Diameter","Size Name","Sphere Material","Size of Square on Tap","Status","Tap class","Taper","Thread","Threaded Adapter Diameter (DG)","Threads Per Inch","Thread Type","Through Coolant","Tip Angle","Tip Diameter","Tip to 1st Full Thread","Drawer Location","Tool Material","TopCut","TopRelief","TPI Circular Pitch","Type Straight or Diagonal","Vendor","EDP#","RTA List"
"D-46","D","46","0.124","","1.25","","","","false","","","","N","","","","","","5/22/2025; 01:40:57 PM","","","","",".1240 Drill MInor for 6-32 Form tap","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","1.46","","61","","","","","","","2","table 2 items","","","","2","","","","","","","","","","","Active","","","","","","","false","130","","","","COBALT","","","","","MSC1","55068670",""
"R-47","R","47","0.141","","0.37","","","OSG","false","","","","","","","","","","5/22/2025; 01:43:54 PM","","","","","6-32 H3 Form Tap Bottoming","","","","","","","","false","","","","","","","","","","","","","false","","","","","","131","","","","","","","","table 2 items","","","Bottoming","1",".124","","","","","","","","","","Active","H3","","#6-32","","","Form","false","","","","","","","","","","MSC1","06532907",""
"N-48","N","48","0.240","","0.5","","","SCIENTIFIC CUTTING TOOL","false","","","","N","","","","","55.11","5/27/2025; 03:47:35 PM","","","","",".240 single point TM 16-48 TPI","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","0.62","","62","","","","","","","4","table 2 items","","","","2","","","","","","","","","","","Active","","","","","","Cut","false","","","","","CARB","","","","","MSC1","40232886",""
"F-49","F","49","0.376","","1.75","","","Hertel","false","","","","N","","","","","34.30","5/27/2025; 04:00:06 PM","","","","",".376 HSS Reamer 1.75 LOC","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","2.36","","63","","","","","","","6","table 2 items","","","","1","","","","","","","","","","","Active","","","","","","","false","","","","","HSS","","","","","MSC1","30161541",""
"A-50","A","50","0.25","","1.0","","","ACCUPRO","false","","","","Y","","","Altin","","33.39","6/3/2025; 10:33:08 AM","","","","","1/4 EM 1"" LOC  4 FL","","","","N","","","","false","","","40","","","","","","","","","","false","","","1","1.19","","39","","","","","","","4","table 2 items","","","","5","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","87829750",""
"A-51","A","51","0.125","1.5","0.5","","","ACCUpro","false","","","","Y","","","","","","6/3/2025; 05:01:56 PM","","","","","1/8 EM .5 LOC  4 FL","","","","N","","","","false","","","40","","","","","","","","","","false","","","","0.61","","64","","","","","","","4","table 2 items","","","","2","","","","","","","","","","","","","","","","","","false","","","","","CARB","","","","","MSC1","01982222",""
"F-52","F","52","0.3175","6","1.5","","","TITAN USA","false","","","","N","","","","","","6/5/2025; 12:13:30 PM","","","","",".3175 Chucking Reamer","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","","","65","","","","","","","6","table 2 items","","","","0",".3125","","","","","","","","","","Active","","","","","","","false","45","","","","HSS","","","","","MSC1","33140229",""
"D-53","D","53","0.3125","3.583","2.375","J","","Haas","false","","","","Y","","","TIALN","","44.97","6/5/2025; 03:01:18 PM","","","","","5/16 Carbide drill  1.693 LOC","","","","N","SK13","","","false","","","30","","","","","","","","","","false","","","","","","66","","","","","","","2","table 2 items","","","","0","","Stainless","","","","","","5/16","","","Active","","","","","","","true","140","","","","CARB","","","","","HAA1","03-0019",""
"B-54","B","54","0.0625","","0.1875","","","ACCUPRO","false","","","","Y","","","","","","6/5/2025; 03:28:20 PM","","","","","1/16 BALL 3/16 LOC 4FL","","","","N","","","","false","","","30","","","","","","","","","","false","","","","0.58","","67","","","","","","","4","table 2 items","","","","0","","","","","","","0.125","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","62917539",""
"R-55","R","55","0.236","","0.4","","","OSG","false","","","","N","","","","","","6/5/2025; 03:35:19 PM","","","","","M6X1 Metric Form Tap  Bottoming","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","1.25","","68","","","","","","","","table 2 items","","","Bottoming","1",".2188 (7/32)","","","","","","","","","","Active","4H","","M6 x 1","","","Form","false","","","","","","","","","","MSC1","75537308",""
"A-56","A","56","0.25","","1","","","Harvey","false","","","","N","","","","","","6/5/2025; 03:54:01 PM","","","","","1/4 EM 1"" LOC  7 FL","","","","N","","","","false","","","","","","","","","","","","","false","","","","1.06","","69","","","","","","","7","table 2 items","","","","2","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","890216-C6",""
