"Tool #","Tool Group","Number","Cut Dia","Overall Length","LOC","(S)tub / (J)obber","ANSICatalogNumber","Approved Brand","Backside Capable","BodyDia","BottomCut","BottomRelief","CenterCut","Classification Marking","Classification Markings","Coating","CornerRad","Cost","Created At","Made Of","Custom Grind","Custom Ground Notes","Cutting Direction","Description","Diameter of Ball (DK)","Diameter Range","Diametral Knurl Value","Double Ended","SK Size","Face to Tip Value","FluteType/Chipbreaker","Full Profile","Grooving Insert Width","Quantity Verified","HelixAngle","Holder","Insert Corner Radius","InsertInscribedCirle","InsertReliefAngle","InsertShape","Insert Thickness","Insert Tip to Center Line of Shank","InsertTolerance","Insert Type","Inspection Certified","ISO Catalog Number","Lead Angle","Lead time","Length Below Holder - MIN OOH","Length Under Ball (ML)","Location","Max Back Angle","Max Offset Drill","Max Z Depth","Min Bore Diameter","Nomenclature","No. of Cutting Corners","No.ofFlutes","Pictures","Pitch","Pocket Geometry","Point Type","Totalin Shop","Recommended Pre-drill Size","Recommended Workpiece Material","Relieved Shank Diameter","Round Shank","Shaft Diameter (DS)","Shaft Material","Shank Diameter","Size Name","Sphere Material","Size of Square on Tap","Status","Tap class","Taper","Thread","Threaded Adapter Diameter (DG)","Threads Per Inch","Thread Type","Through Coolant","Tip Angle","Tip Diameter","Tip to 1st Full Thread","Drawer Location","Tool Material","TopCut","TopRelief","TPI Circular Pitch","Type Straight or Diagonal","Vendor","EDP#","RTA List"
"R-115","R","115","0.06","","0.3173","","","OSG","false","","","","","","","TiCN","","24.06","9/19/2025; 05:51:41 PM","","","","","#0-80 FORM TAP COBALT","","","","","","","","false","","","","","","","","","","","","","false","","","","","","122","","","","","","","","table 2 items","","","Bottoming","3",".054-.055","Steel","","",".141","","","","","","Active","","","#0-80","","","Form","false","","","","","COBALT","","","","","MSC1","51720720",""
"D-116","D","116","0.0539","","0.4409","","","ACCUPRO","false","","","","","","","","","17.21","9/19/2025; 05:56:39 PM","","","","",".0539 Drill 120deg","","","","","","","","false","","","","","","","","","","","","","false","","","","","","123","","","","","","","2","table 2 items","","","","9","","","","",".059","","","","","","Active","","","","","","","false","120","","","","CARB","","","","","MSC1","61614152",""
"D-117","D","117","0.055","1.5","0.708","","","GUHRING","false","","","","","","","","","16.30","9/19/2025; 05:58:35 PM","","","","","#54 .055 Drill 118 deg","","","","","","","","false","","","","","","","","","","","","","false","","","","","","124","","","","","","","2","table 2 items","","","","2","","","","","","","0.055","","","","Active","","","","","","","false","","118","","","CARB","","","","","MSC1","40324006",""
"A-118","A","118","0.25","2.5","0.75","","","","false","","","","Y","","","AlTin","0.03","24.46","9/22/2025; 09:59:19 AM","","","","","1/4 Bull .03R 3/4LOC","","","","N","","","","false","","true","40","","","","","","","","","","false","","","","","","125","","","","","","","4","table 2 items","","","","1","","Steel","","","","","0.25","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","86769817",""
"F-119","F","119","0.159","4.5","1.125","","","TItan USA","false","","","","N","","","","","26.88","9/25/2025; 02:50:48 PM","","","","",".159 Reamer","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","126","","","","","","","6","table 2 items","","","Cone-Relief","0","","","","",".153","","","","","","Active","","","","","","","false","","","","","COBALT","","","","","MSC1","33154030",""
"N-120","N","120","1.0","2.125","0.125","","","Whitney Tool Co.","false","","","","","","","","","44.63","9/26/2025; 02:52:27 PM","","","","","1.0"" Key cutter 1/8 Kerf","","","","N","","","","false",".125","","","","","","","","","","","","false","","","","0.25","","127","","","","1.05","","","16","table 2 items","","","","0","1.0","Aluminum",".279","","","","0.5","","","","Active","","","","","","","false","","","","","COBALT","","","","","MSC1","43713338",""
"N-121","N","121","0.120","2","0.3","","","SCIENTIFIC CUTTNG TOOL","false","","","","","","","","","50.61","9/26/2025; 03:10:21 PM","","","","",".120 Threadmill 32-56TPI .3Reach","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","128","","","","","","","3","table 2 items","","","","1","","",".07","","","","0.1875","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","67925669",""
"N-122","N","122","0.182","2.5","0.4","","","SCIENTIFIC CUTING TOOL","false","","","","","","","","","55.11","9/26/2025; 03:15:17 PM","","","","",".182 THreadmill 18-56TPI .4LOC","","","","N","","","","false","","","","","","","","","","","","","false","","","","0.4","","129","","","","","","","4","table 2 items","","","","1","","",".104","","","","0.25","","","","Active","","","","","18-56","","false","","","","","CARB","","","","","MSC1","40232860",""
"A-123","A","123","0.05","1.5","0.150","","","Harvey","false","","","","Y","","","","","19.48","9/26/2025; 03:41:50 PM","","","","",".05 EM .15 LOC 3 fl","","","","N","","","","false","","","30","","","","","","","","","","false","","","","","","130","","","","","","","3","table 2 items","","","","1","","Aluminum","","","","","0.125","","","","Active","","","","","","","false","","","","","","","","","","MSC1","47909007",""
"A-123","A","","","","","","","Harvey","false","","","","Y","","","","","19.48","9/26/2025; 03:41:50 PM","","","","",".05 EM .15 LOC 3 fl","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","130","","","","","","","","table 2 items","","","","","","Aluminum","","","","","","","","","Active","","","","","","","false","","","","","","","","","","JON1","836350",""
"L-124","L","124","0.125","1.5","0.060","","","Harvey","false","","","","N","","","","","30.70","10/10/2025; 04:24:08 PM","","","","","1/8 90° 4FL Chamfer","","","","","","","","false","","","","","","","","","","","","","false","","","","","","133","","","","","","","4","table 2 items","","","","2","","","","","","","0.125","","","","Active","","90","","","","","false","","0.01","","","CARB","","","","","MSC1","86804234",""
"L-124","L","","","","","","","Harvey","false","","","","N","","","","","","10/10/2025; 04:24:08 PM","","","","","1/8 90° 4FL Chamfer","","","","","","","","false","","","","","","","","","","","","","false","","","","","","133","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","0.01","","","CARB","","","","","BUT1","744445-C3",""
"L-124","L","","","","","","","Haas","false","","","","N","","","","","8.97","10/10/2025; 04:24:08 PM","","","","","1/8 90° 4FL Chamfer","","","","","","","","false","","","","","","","","","","","","","false","","","","","","133","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","0.01","","","CARB","","","","","HAA1","03-0618",""
"G-125","G","125","","","0.56","","","Kennametal","false","","","","","","","","0.031","","10/14/2025; 12:03:19 PM","","","","","Steel Insert for Kennametal Face Mill","","","","","","","","false","","","","","","","","","","","","","false","","","","","","132","","","","","","","","table 2 items","","","","17","","ST, SS","","","","","","","","","","","","","","","","false","","","","","CARB","","","","","JON1","2983331","20"
"G-125","G","","","","","","","Kennametal","false","","","","","","","","","32.74","10/14/2025; 12:03:19 PM","","","","","Steel Insert for Kennametal Face Mill","","","","","","","","false","","","","","","","","","","","","","false","","","","","","132","","","","","","","","table 2 items","","","","","","ST, SS","","","","","","","","","","","","","","","","false","","","","","CARB","","","","","MSC1","01655281","20"
"I-126","I","126","2.00","1.575","0.56","","","Kennametal","false","","","","N","","","","","","10/14/2025; 12:16:31 PM","","","","","2"" Kennametal Face Mill","","","","","","","","false","","","","","","","","","","","","","false","","","","","","","","","","","","","6","table 2 items","","","","2","","","","","","","","","","","","","","","","","","true","","","","","","","","","","JON1","2479510","20"
"R-127","R","127","0.1574","","0.75","","","","false","","","","","","","V","","71.70","10/14/2025; 02:35:40 PM","","","","","M4x0.7 FORM TAP D6","","","","","","","","false","","","","","","","","","","","","","false","","","","1.03","","134","","","","","","","","table 2 items","","","Modified Bottoming","3","0.1456","","","","","","0.168","","","","","D6","","M4 x .7","","","Form","false","","","","","COBALT","","","","","MSC1","70647177",""
"R-127","R","","","","","","","","false","","","","","","","V","","","10/14/2025; 02:35:40 PM","","","","","M4x0.7 FORM TAP D6","","","","","","","","false","","","","","","","","","","","","","false","","","","","","134","","","","","","","","table 2 items","","","Modified Bottoming","","0.1456","","","","","","","","","","","D6","","M4 x .7","","","Form","false","","","","","COBALT","","","","","OSG","1635004076",""
"R-127","R","","","","","","","OSG","false","","","","","","","V","","42.61","10/14/2025; 02:35:40 PM","","","","","M4x0.7 FORM TAP D6","","","","","","","","false","","","","","","","","","","","","","false","","","","","","134","","","","","","","","table 2 items","","","Modified Bottoming","","0.1456","","","","","","","","","","","D6","","M4 x .7","","","Form","false","","","","","COBALT","","","","","BUT1","1635004076",""
"D-128","D","128","0.28125","","","J","","","false","","","","","","","","","","10/15/2025; 11:39:34 AM","","","","","9/32 Cobalt drill from Drill index","","","","","","","","false","","","","","","","","","","","","","false","","","","","","10000","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","118","","","","COBALT","","","","","HAA1","",""
"D-129","D","129","0.189","3.53","2.08","","","","false","","","","","","","","","","10/15/2025; 03:37:31 PM","","","","","#12 Drill from Drill Index","","","","","","","","false","","","","","","","","","","","","","false","","","","","","10000","","","","","","","2","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","118","","","","COBALT","","","","","","",""
"D-130","D","130","0.4844","5.97","4.0","","","","false","","","","","","","","","","10/15/2025; 03:39:45 PM","","","","",".5 drill from Drill Index","","","","","","","","false","","","","","","","","","","","","","false","","","","","","10000","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","118","","","","COBALT","","","","","","",""
"D-131","D","131","0.3125","4.56","2.8","","","","false","","","","","","","","","","10/15/2025; 03:43:22 PM","","","","","5/16 Cobalt Drill from Drill index","","","","","","","","false","","","","","","","","","","","","","false","","","","","","10000","","","","","","","","","","","","","","","","","","","","","","","Active","","","","","","","false","118","","","","COBALT","","","","","","",""
"M-132","M","132","0.187","2.5","0.16","","","Internal Tool","false","","","","","","","","","41.84","10/21/2025; 01:22:51 PM","","","","","3/16 Lolli Pop End Mill","","","","","","","","false","","","","","","","","","","","","","false","","","","","","135","","","","","","","","table 2 items","","","","1","","","","","","","0.1875","","","","","","","","","","","false","","0.187","","","CARB","","","","","CAM1","29-4055-C",""
"O-133","O","133","0.5","2.5","","","","Micro 100","false","0.5","","","","","","","","67.52","10/21/2025; 04:49:49 PM","","","","",".50 100° Spot Drill","","","","","","","","false","","","","","","","","","","","","","false","","","","","","136","","","","","","","2","table 2 items","","","","1","","","","","","","0.5","","","","","","100","","","","","false","","","","","CARB","","","","","MSC1","81448169",""
"F-134","F","134","0.258","","","","","","false","","","","","","","","","30.21","10/22/2025; 09:23:58 AM","","","","",".258 HSS Reamer","","","","","","","","false","","","","","","","","","","","","","false","","","","","","137","","","","","","","6","table 2 items","","","","1","","","","","","","0.248","","","","Active","","","","","","","false","","","","","HSS","","","","","MCM1","8803A494",""
"R-135","R","135","0.25","","","","","OSG","false","","","","","","","","","22.71","10/22/2025; 09:30:11 AM","","","","","1/4-28 FORM TAP H5","","","","","","","","false","","","","","","","","","","","","","false","","","","","","138","","","","","","","","table 2 items","","","Modified Bottoming","5",".2344","","","","","","0.255","","","","Active","H5","","1/4-28","","","Form","false","","","0.093","","","","","","","MSC1","09664624",""
"R-135","R","","","","","","","OSG","false","","","","","","","","","","10/22/2025; 09:30:11 AM","","","","","1/4-28 FORM TAP H5","","","","","","","","false","","","","","","","","","","","","","false","","","","","","138","","","","","","","","table 2 items","","","Modified Bottoming","",".2344","","","","","","","","","","Active","H5","","1/4-28","","","Form","false","","","0.093","","","","","","","","1400128505",""
"F-136","F","136","0.194","","","","","","false","","","","","","","","","24.52","10/22/2025; 09:57:41 AM","","","","",".194 HSS Reamer","","","","","","","","false","","","","","","","","","","","","","false","","","","","","139","","","","","","","","table 2 items","","","","2","","","","","","","","","","","","","","","","","","false","","","","","","","","","","MCM1","8803A374",""
"R-137","R","137","0.3125","","","","","OSG","false","","","","","","","","","28.28","10/22/2025; 10:02:05 AM","","","","","5/16-24 FORM TAP H5","","","","","","","","false","","","","","","","","","","","","","false","","","","","","140","","","","","","","","table 2 items","","","Modified Bottoming","2","","","","","","","","","","","Active","H5","","5/16-24","","","Form","false","","","","","","","","","","MSC1","09664772",""
"R-137","R","","","","","","","OSG","false","","","","","","","","","","10/22/2025; 10:02:05 AM","","","","","5/16-24 FORM TAP H5","","","","","","","","false","","","","","","","","","","","","","false","","","","","","140","","","","","","","","table 2 items","","","Modified Bottoming","","","","","","","","","","","","Active","H5","","5/16-24","","","Form","false","","","","","","","","","","","1400133005",""
"A-138","A","138","0.5","","2.","","","Helical","false","","","","Y","","","ZPLUS","","113.22","10/22/2025; 10:50:02 AM","","","","","1/2"" 3FL EM 2.LOC AL","","","","","","","","false","","","40 Variable","","","","","","","","","","false","","","","","","141","","","","","","","3","table 2 items","","","","4","","AL","","","","","0.5","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","10594356",""
"A-138","A","","","","","","","Helical","false","","","","Y","","","ZPLUS","","","10/22/2025; 10:50:02 AM","","","","","1/2"" 3FL EM 2.LOC AL","","","","","","","","false","","","","","","","","","","","","","false","","","","","","141","","","","","","","","table 2 items","","","","","","AL","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","","48456",""
"A-139","A","139","0.375","3.5","1.5","","","Helical","false","","","","","","","ZPLUS","","84.35","10/22/2025; 10:53:49 AM","","","","","3/8 3FL EM 1.5LOC AL","","","","","","","","false","","","40 Variable","","","","","","","","","","false","","","","","","142","","","","","","","3","table 2 items","","","","1","","AL","","","","","0.375","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","16295222",""
"A-139","A","","","","","","","Helical","false","","","","","","","ZPLUS","","","10/22/2025; 10:53:49 AM","","","","","3/8 3FL EM 1.5LOC AL","","","","","","","","false","","","","","","","","","","","","","false","","","","","","142","","","","","","","","table 2 items","","","","","","AL","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","","48311",""
"D-140","D","140","0.2344","","","J","","","false","","","","","","","","","2.85","10/23/2025; 01:56:46 PM","","","","","15/64 .234 HSS DRILL","","","","","","","","false","","","","","","","","","","","","","false","","","","","","150","","","","","","","2","table 2 items","","","","8","","","","","","","","","","","Active","","","","","","","false","135","","","","COBALT","","","","","HAA1","03-0351",""
"D-141","D","141","0.246","","","S","","","false","","","","","","","","","","10/23/2025; 01:59:39 PM","","","","","D .246 HSS Drill","","","","","","","","false","","","","","","","","","","","","","false","","","","","","10000","","","","","","","","","","","","","","","","","","","","","","","Active","","","","","","","false","135","","","","","","","","","","",""
"F-142","F","142","","3.26","1.14","","","OSG","false","","","","N","","","","","55.01","10/27/2025; 01:43:57 PM","","","","","8mm reamer","","","","","","","","false","","","","","","","","","","","","","false","","","","","","143","","","","","","","6","table 2 items","","","","1","","","","","","","0.2795","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","55446926",""
"TL-143","TL","143","","","","","","BIG DAIshowa","false","","","","","","","","","","11/4/2025; 10:56:58 AM","","","","","Boring insert  .016R TPGP080204FLA H1","","","","","","","","false","","","","",".016","","","T","","","","Boring","false","35","","","","","144","","","","","TPGP080204FLA H1","3","","table 2 items","","","","9","","AL","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","YAM1","TPGP080204FLA H1","21"
"TD-144","TD","144","","1.55","","","","Big Daishowa","false","","","","","","","","","969.95","11/4/2025; 11:01:43 AM","","","","CW","Boring Head 1.26-2.36","","","","","","","","false","","","","","","","","","","","","","false","","","","","","145","","","","1.26","","","1","table 2 items","","","","","","","","","","","1.184","","","","Active","","","","","","","true","","","","","HSS","","","","","YAM1","EWN32-60CKB3","21"
"R-145","R","145","0.291","2.5","0.9960","","","OSG","false","","","","","","","V","","51.58","11/4/2025; 12:44:23 PM","","","","","1/4-28 UNF  3B Form tap","","","","","","","","false","","","","","","","","","","","","","false","","","","","","146","","","","","","","","table 2 items","","","Bottoming (1.5P)","4","","","","","","","","","","","Active","3B","","1/4-28","","","Form","false","","","","","COBALT","","","","","MSC1","07464852",""
"R-145","R","","","","","","","OSG","false","","","","","","","V","","","11/4/2025; 12:44:23 PM","","","","","1/4-28 UNF  3B Form tap","","","","","","","","false","","","","","","","","","","","","","false","","","","","","146","","","","","","","","table 2 items","","","Bottoming (1.5P)","","","","","","","","","","","","Active","3B","","1/4-28","","","Form","false","","","","","COBALT","","","","","","1405007608",""
"D-146","D","146","0.234","3.91","2.32","J","","","false","","","","","","","","","","11/4/2025; 12:54:02 PM","","","","",".234Ø Letter A drill (drill Index)","","","","","","","","false","","","","","","","","","","","","","false","","","","","","10000","","","","","","","2","","","","Split Point","","","AL","","","","","0.233","","","","Active","","","","","","","false","118","","","","","","","","","","",""
"R-147","R","147","","2.7187","1.125","","","Balax","false","","","","","","","","","32.24","11/4/2025; 02:36:00 PM","","","","","1/4-28-STI tap","","","","","","","","false","","","","","","","","","","","","","false","","","","","","147","","","","","","","","table 2 items","","","Bottoming","0",".261 G","","","","","","","","","","Active","","","1/4-28 STI","","","Form","false","","","","","","","","","","MSC1","49720568",""
"D-148","D","148","0.261","4.18","2.52","J","","","false","","","","","","","","","","11/4/2025; 02:46:38 PM","","","","",".261 Letter G drill (drill index)","","","","","","","","false","","","","","","","","","","","","","false","","","","","","10000","","","","","","","2","","","","Split Point","","","","","","","","0.259","","","","Active","","","","","","","false","118","","","","","","","","","","",""
"R-149","R","149","","2.71","1.125","","","Heli-coil","false","","","","","","","","","53.73","11/4/2025; 02:55:36 PM","","","","","1/4-28-UNF STI CUT tap 3B class Fit.","","","","","","","","false","","","","","","","","","","","","","false","","","","","","148","","","","","","","2","table 2 items","","","Plug","2",".261","","","","","","","","","","Active","3B","","","","","Cut","false","","","","","COBALT","","","","","MSC1","64833247",""
"D-150","D","150","0.0625","2.165","0.315","J","","Haas","false","","","","","","","","","45.97","11/4/2025; 05:43:44 PM","","","","",".0625 1/16 Drill .140 deg TSC","","","","","","","","false","","","","","","","","","","","","","false","","","","","","149","","","","","","","2","table 2 items","","","","1","","","","","","","0.1181","","","","Active","","","","","","","false","140","","","","","","","","","HAA1","03-0807",""
"M-151","M","151","0.375","","","","","","false","","","","","","","","","64.77","11/12/2025; 09:09:30 AM","","","","","3/8"" 45° Dovetail Cutter","","","","","","","","false","","","","","","","","","","","","","false","","","","","","152","","","","","","","3","table 2 items","","","","0","","","","","","","","","","","Active","","","","","","","false","45","","","","CARB","","","","","HAA1","03-1097",""
"D-152","D","152","","4.0","2.5","J","","Haas","false","","","","","","","","","39.97","12/4/2025; 09:31:31 AM","","","","","C .242 HSS Drill 135Deg drill index","","","","","","","","false","","","30","","","","","","","","","","false","","","","","","10000","","","","","","","2","table 2 items","","","Split Point","","","Al","","","","","0.240","","","","Active","","","","","","","false","135","","","","COBALT","","","","","HAA1","03-0260",""
"D-153","D","153","0.096","2.375","1.299","J","","Haas","false","","","","","","","","","10.97","12/4/2025; 12:25:26 PM","","","","",".096 #41 HSS drill 135 deg","","","","","","","","false","","","30","","","","","","","","","","false","","","","","","10000","","","","","","","2","table 2 items","","","Split Point","","","Al","","","","","","","","","Active","","","","","","","false","135","","","","COBALT","","","","","HAA1","03-0324",""
"D-154","D","154","0.0995","2.375","1.296","","","Haas","false","","","","","","","","","10.97","12/4/2025; 12:42:58 PM","","","","",".0995 #39 Cobalt drill index 135 deg","","","","","","","","false","","","30","","","","","","","","","","false","","","","","","10000","","","","","","","2","table 2 items","","","","","","","","","","","0.0995","","","","Active","","","","","","","false","135","","","","COBALT","","","","","HAA1","03-0322",""
"A-155","A","155","0.375","3.0","1.0","","","Helical","false","","","","Y","","","Zplus","0.01","46.21","12/10/2025; 11:48:38 AM","","","","","3/8Ø Bull Mill .01R 1""LOC 3 flute","","","","N","","","","false","","","35","","","","","","","","","","false","","","","","","153","","","","","","","3","table 2 items","","","","2","","AL","","","","","0.375","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","98521818",""
"K-156","K","156","","1.5","0.015","","","HArvey","false","","","","N","","","","0.015","51.92","12/10/2025; 12:14:24 PM","","","","","1/8 flared corner round .015R .046P","","","","Y","","","","false","","","","","","","","","","","","","false","","","","","","154","","","","","","","2","table 2 items","","","","1","","","","","","","0.125","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","02245553",""
"K-156","K","","","","","","","Harvey","false","","","","N","","","","","51.92","12/10/2025; 12:14:24 PM","","","","","1/8 flared corner round .015R .046P","","","","Y","","","","false","","","","","","","","","","","","","false","","","","","","154","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","17015",""
"D-157","D","157","0.2813","","1.693 in","","","","false","","","","","","","","","40.47","12/11/2025; 02:04:30 PM","","","","","9/32 .2813 CARB 140 Drill","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","155","","","","","","","2","table 2 items","","","","4","","","","","","","0.315","","","","Active","","","","","","","false","140","","","","CARB","","","","","HAA1","03-0097",""
"B-158","B","158","0.0625","1.5","0.1875","","","","false","","","","Y","","","","","14.40","12/15/2025; 03:59:46 PM","","","","","1/16Ø Ball 3/16 LOC 3fl","","","","N","","","","false","","","30","","","","","","","","","","false","","","","","","156","","","","","","","3","table 2 items","","","","3","","Aluminum","","","","","0.125","","","","Active","","","","","","","false","","","","","CARB","","","","","MCM1","88825A14",""
"A-159","A","159","0.375","4","0.563","","","Harvey","false","","","","Y","","","","0.03","173.40","12/16/2025; 10:58:33 AM","","","","","3/8Ø Bull .03R .563LOC reduced shank","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","157","","","","","","","4","table 2 items","","","","1","","",".3125","","","","0.3125","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","88690649",""
"A-159","A","","","","","","","Harvey","false","","","","Y","","","","","170.00","12/16/2025; 10:58:33 AM","","","","","3/8Ø Bull .03R .563LOC reduced shank","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","157","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","17624",""
"A-160","A","160","0.25","3","1.","","","Helical","false","","","","Y","","","","0.03","","12/17/2025; 01:00:20 PM","","","","","1/4"" Bull EM .03R 3FL 1"" LOC AL VarPitch","","","","","","","","false","","","40","","","","","","","","","","false","","","","","","158","","","","","","","3","table 2 items","","","","2","","Aluminum","","","","","0.25","","","","Active","","","","","","","false","","","","","CARB","","","","","Helical","48146",""
"A-160","A","","","","","","","Helical","false","","","","Y","","","","","","12/17/2025; 01:00:20 PM","","","","","1/4"" Bull EM .03R 3FL 1"" LOC AL VarPitch","","","","","","","","false","","","","","","","","","","","","","false","","","","","","158","","","","","","","","table 2 items","","","","","","Aluminum","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","28780815",""
"K-161","K","161","","","","","","ACCUPRO","false","","","","N","","","","0.125","60.57","12/28/2025; 07:36:25 PM","","","","","5/16 corner rounder .125R .063 Pilot","","","","Y","","","","false","","","","","","","","","","","","","false","","","","0.50","","18","","","","","","","","table 2 items","","","","1","","","","","","","","","","","Active","","","","","","","false","","","","","","","","","","MSC1","01176890",""
"N-162","N","162","1.5","","0.0625","","","","false","","","","","","","","","74.36","12/28/2025; 08:01:38 PM","","","","","1.5"" Ø Key cutter .0625 kerf","","","","","","","","false","","","","","","","","","","","","","false","","","","","","159","","","","","","","20","table 2 items","","","","1","","","","","","","0.5","","","","Active","","","","","","","false","","","","","COBALT","","","","","MSC1","43713411",""
"D-163","D","163","0.266","4.16","2.46","J","","","false","","","","","","","","","","12/30/2025; 03:36:36 PM","","","","",".266 H drill Index","","","","","","","","false","","","","","","","","","","","","","false","","","","","","10000","","","","","","","2","","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","COBALT","","","","","","",""
"K-164","K","164","0.125","1.5","0.036","","","","false","","","","N","","","","0.03","51.92","1/3/2026; 12:06:45 AM","","","","",".125 Corner round .03 radius .046 pilot","","","","Y","","","","false","","","","","","","","","","","","","false","","","","","","160","","","","","","","2","table 2 items","","","","1","","","","","","","0.125","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","93762672",""
"K-164","K","","","","","","","","false","","","","N","","","","","51.92","1/3/2026; 12:06:45 AM","","","","",".125 Corner round .03 radius .046 pilot","","","","Y","","","","false","","","","","","","","","","","","","false","","","","","","160","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","17030",""
"A-165","A","165","0.5","4.25","1.85","","","Fraisa","false","","","","Y","","","POLYCHROM","0.008","105","1/6/2026; 08:43:30 AM","","","","","1/2 Bull mill 1.85 LOC .008R Fraisa E cut rougher","","","","N","","","Semi-Finish","false","","","","","","","","","","","","","false","","","","","","161","","","","","","","5","table 2 items","","","","0","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","FRA1","P98315530",""
"A-166","A","166","0.5","4.75","2.626","","","Faisa","false","","","","Y","","","POLYCHROME","0.008","105","1/6/2026; 08:46:25 AM","","","","","1/2 Bull  .008R 2.626LOC Fraisa E cut rougher","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","162","","","","","","","4","table 2 items","","","","1","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","FRA1","P98320530",""
"I-167","I","167","2.5","","","","","","false","","","","N","","","","","119.65","1/7/2026; 11:30:13 AM","","","","","2.5"" HAAS Face Mill Insert Body","","","","","","","","false","","","","","","","","","","","","","false","","","","","","","","","","","","","5","table 2 items","","","","2","","","","","","","","","","","Active","","","","","","","false","","","","","","","","","","HAA1","01-0644","22, 23"
"G-168","G","168","","","","","","","false","","","","","","","","","6.172","1/7/2026; 11:34:07 AM","","","","","2.5"" Shell Mill Haas HN25 AL","","","","","","","","false","","","","","","","","","","","","","false","","","","","","24","","","","","","","","table 2 items","","","","10","","","","","","","","","","","Active","","","","","","","false","","","","","","","","","","HAA1","02-0994","22"
"G-169","G","169","","","","","","","false","","","","","","","","","5.412","1/7/2026; 11:56:26 AM","","","","","2.5"" Shell Mill Haas HP30 ST","","","","","","","","false","","","","","","","","","","","","","false","","","","","","","","","","","","","","table 2 items","","","","5","","","","","","","","","","","Active","","","","","","","false","","","","","","","","","","HAA1","02-0995","23"
"A-170","A","170","0.5","4.0","2.0","","","Haas","false","","","","Y","","","None","","48.97","1/8/2026; 09:29:58 AM","","","","","1/2 EM 3 fl 2.0 LOC Var Haas","","","","","","","","false","","","38","","","","","","","","","","false","","","","","","163","","","","","","","3","table 2 items","","","","0","","AL","","","","","0.5","","","","Active","","","","","","","false","","","","","CARB","","","","","HAA1","03-0393",""
"A-171","A","171","0.5","4","2.0","","","Helical","false","","","","Y","","","NONE","","93.30","1/8/2026; 09:33:53 AM","","","","","1/2"" 3FL EM 2.LOC AL UNcoated","","","","N","","","","false","","","40","","","","","","","","","","false","","","","","","164","","","","","","","3","table 2 items","","","","2","","AL","","","","","0.5","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","48455",""
"A-171","A","","","","","","","Helical","false","","","","Y","","","NONE","","107.54","1/8/2026; 09:33:53 AM","","","","","1/2"" 3FL EM 2.LOC AL UNcoated","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","164","","","","","","","","table 2 items","","","","","","AL","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","13415567",""
"A-172","A","172","0.375","","1.5","","","","false","0.375","","","Y","","","Uncoated","","34.17","1/12/2026; 04:21:20 PM","","","","","3/8 3FL EM 1.5LOC AL UC","","","","","","","","false","","","38","","","","","","","","","","false","","","2","","","165","","","","","","","3","table 2 items","","","","3","","AL","","","","","0.375","","","","Active","","","","","","","false","","","","","CARB","","","","","HAA1","03-0392",""
"F-173","F","173","0.131","2.5","0.75","","","Hertel","false","","","","N","","","","","62.71","1/20/2026; 03:51:06 PM","","","","",".131Ø reamer .75LOC","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","166","","","","","","","4","table 2 items","","","","1","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","79889465",""
